instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
6,2011-01-06,Spring,0,1,0,4,1,1,0.24,0.2576,0.75,0.0896,88,1518,1606
12,2011-01-12,Spring,0,1,0,3,1,1,0.36,0.3333,0.81,0.2836,25,1137,1162
35,2011-02-04,Spring,0,2,0,5,1,2,0.36,0.3333,0.71,0.2537,88,1620,1708
36,2011-02-05,Spring,0,2,0,6,0,2,0.36,0.3333,0.66,0.2985,100,905,1005
39,2011-02-08,Spring,0,2,0,2,1,1,0.34,0.3333,0.81,0.1642,64,1466,1530
40,2011-02-09,Spring,0,2,0,3,1,2,0.34,0.3333,0.71,0.1642,53,1552,1605
41,2011-02-10,Spring,0,2,0,4,1,1,0.34,0.3333,0.57,0.194,47,1491,1538
42,2011-02-11,Spring,0,2,0,5,1,1,0.36,0.3333,0.46,0.3284,149,1597,1746
43,2011-02-12,Spring,0,2,0,6,0,1,0.32,0.2879,0.42,0.4478,288,1184,1472
44,2011-02-13,Spring,0,2,0,0,0,1,0.3,0.2727,0.39,0.3582,397,1192,1589
45,2011-02-14,Spring,0,2,0,1,1,1,0.26,0.2273,0.44,0.3284,208,1705,1913
46,2011-02-15,Spring,0,2,0,2,1,1,0.24,0.2121,0.44,0.2985,140,1675,1815
47,2011-02-16,Spring,0,2,0,3,1,1,0.22,0.2273,0.47,0.1642,218,1897,2115
48,2011-02-17,Spring,0,2,0,4,1,1,0.22,0.197,0.44,0.3582,259,2216,2475
49,2011-02-18,Spring,0,2,0,5,1,1,0.2,0.1667,0.44,0.4179,579,2348,2927
50,2011-02-19,Spring,0,2,0,6,0,1,0.16,0.1364,0.47,0.3881,532,1103,1635
51,2011-02-20,Spring,0,2,0,0,0,1,0.16,0.1364,0.47,0.2836,639,1173,1812
52,2011-02-21,Spring,0,2,1,1,0,2,0.14,0.1061,0.5,0.3881,195,912,1107
53,2011-02-22,Spring,0,2,0,2,1,1,0.14,0.1364,0.5,0.194,74,1376,1450
54,2011-02-23,Spring,0,2,0,3,1,1,0.14,0.1212,0.5,0.2836,139,1778,1917
55,2011-02-24,Spring,0,2,0,4,1,2,0.16,0.1364,0.43,0.3881,100,1707,1807
56,2011-02-25,Spring,0,2,0,5,1,2,0.18,0.1667,0.43,0.2537,120,1341,1461
57,2011-02-26,Spring,0,2,0,6,0,1,0.2,0.1818,0.4,0.3284,424,1545,1969
58,2011-02-27,Spring,0,2,0,0,0,1,0.22,0.2121,0.35,0.2985,694,1708,2402
59,2011-02-28,Spring,0,2,0,1,1,2,0.24,0.2121,0.35,0.2836,81,1365,1446
60,2011-03-01,Spring,0,3,0,2,1,1,0.26,0.2424,0.3,0.2836,137,1714,1851
61,2011-03-02,Spring,0,3,0,3,1,1,0.26,0.2424,0.3,0.2537,231,1903,2134
62,2011-03-03,Spring,0,3,0,4,1,1,0.26,0.2424,0.3,0.2537,123,1562,1685
63,2011-03-04,Spring,0,3,0,5,1,2,0.24,0.2273,0.3,0.2239,214,1730,1944
64,2011-03-05,Spring,0,3,0,6,0,2,0.24,0.2576,0.32,0.1045,640,1437,2077
66,2011-03-07,Spring,0,3,0,1,1,1,0.2,0.2273,0.47,0.1045,244,1628,1872
67,2011-03-08,Spring,0,3,0,2,1,1,0.18,0.197,0.64,0.1343,316,1817,2133
68,2011-03-09,Spring,0,3,0,3,1,2,0.14,0.1515,0.69,0.1343,191,1700,1891
69,2011-03-10,Spring,0,3,0,4,1,3,0.18,0.2121,0.55,0.1045,46,577,623
70,2011-03-11,Spring,0,3,0,5,1,2,0.16,0.1818,0.55,0.1045,247,1730,1977
71,2011-03-12,Spring,0,3,0,6,0,1,0.16,0.1818,0.59,0.1045,724,1408,2132
72,2011-03-13,Spring,0,3,0,0,0,1,0.14,0.1515,0.63,0.1343,982,1435,2417
73,2011-03-14,Spring,0,3,0,1,1,1,0.14,0.1818,0.63,0.0896,359,1687,2046
74,2011-03-15,Spring,0,3,0,2,1,2,0.12,0.1515,0.68,0.1045,289,1767,2056
75,2011-03-16,Spring,0,3,0,3,1,2,0.12,0.1515,0.74,0.1045,321,1871,2192
76,2011-03-17,Spring,0,3,0,4,1,1,0.12,0.1515,0.74,0.1343,424,2320,2744
